Ticker;Nom;SUB_IND_GICS;IND_GICS;REGION_NAME;CUR_MKT_CAP;CURR_ENTP_VAL;NET_INCOME_FIRM;SALES_REV_TURN;NET_REV;GROSS_PROFIT;EBIT;EBITDA;NET_DEBT;CURRENT_EV_TO_T12M_EBIT;CURRENT_EV_TO_T12M_EBITDA;PX_TO_SALES_RATIO;TRAIL_12M_NET_SALES;CURRENT_EV_TO_12M_SALES;PE_RATIO;NUM_OF_EMPLOYEES;SUSTAIN_GROWTH_RT;PROF_MARGIN;;Datetime of data import
AA UN Equity;Alcoa Corp;Aluminum;Materials;United States;13692013913;15267,80912;521,7022519;12152;#N/A N/A;2999;949;1683;12;15,98278294;9,071782011;1,128766633;12152;1,256402989;12,37987431;12200;#N/A N/A;3,530283081;;14/03/2022 18:20
INO UW Equity;Inovio Pharmaceuticals Inc;Biotechnology;Health Care;United States;688081403,4;319,7898474;#N/A N/A;1,774758;#N/A N/A;#N/A N/A;-301,217919;-294,257408;-368,291556;#N/A N/A;#N/A N/A;374,0618759;1,774758;180,1878607;#N/A N/A;317;#N/A N/A;-17109,86568;;
AXP UN Equity;American Express Co;Consumer Finance;Financials;United States;1,31786E+11;150676,0592;#N/A N/A;43663;42380;#N/A N/A;11972;13667;18890;14,09636628;11,02480861;3,132584064;43663;3,450886545;17,37237268;64000;28,28723397;18,45956531;;
VZ UN Equity;Verizon Communications Inc;Integrated Telecommunication Services;Communication Services;United States;2,20848E+11;397266,5029;24744,25663;133613;#N/A N/A;77312;32448;53709;175009;11,96568606;7,396646798;1,633210451;133613;2,973262354;9,715622856;118400;12,44215502;16,51411165;;
SPWH UW Equity;Sportsman's Warehouse Holdings Inc;Specialty Stores;Consumer Discretionary;United States;494527419,7;820,8344197;94,01772666;1451,767;#N/A N/A;476,454;122,748;212,589;198,785;7,683197638;3,680921356;0,322761637;1527,979;0,537202684;5,769244786;7000;37,13891811;6,294398481;;
BA UN Equity;Boeing Co/The;Aerospace & Defense;Industrials;United States;1,03701E+11;147251,0977;#N/A N/A;62286;#N/A N/A;3017;-2902;-451;43397;#N/A N/A;#N/A N/A;1,657649083;62286;2,364112283;#N/A N/A;142000;#N/A N/A;-6,746299329;;
SABR UW Equity;Sabre Corp;Data Processing & Outsourced Services;Information Technology;United States;3011975566;7225,262566;#N/A N/A;1688,875;#N/A N/A;997,424;-665,487;-374,37;3875,097;#N/A N/A;#N/A N/A;1,770646584;1688,875;4,278151175;#N/A N/A;7583;#N/A N/A;-54,97559026;;
PEP UW Equity;PepsiCo Inc;Soft Drinks;Consumer Staples;United States;2,16953E+11;253450,8485;9074,672131;79474;#N/A N/A;42399;11162;14435;36390;22,58920219;17,55807749;2,731251376;79474;3,189103965;25,05148755;309000;-6,681250746;9,585524826;;
CAT UN Equity;Caterpillar Inc;Construction Machinery & Heavy Trucks;Industrials;United States;1,15746E+11;117150,4601;6873,380302;50971;#N/A N/A;15003;6878;9444;1372;17,00143966;12,40475012;2,305575363;50971;2,298374765;19,26145365;107700;29,28646161;12,73076848;;
JPM UN Equity;JPMorgan Chase & Co;Diversified Banks;Financials;United States;3,88619E+11;#N/A N/A;#N/A N/A;127202;121649;#N/A N/A;#N/A N/A;#N/A N/A;-526009;#N/A N/A;#N/A N/A;3,12740151;127202;#N/A N/A;8,512107463;271025;12,80264564;39,7323447;;
CVX UN Equity;Chevron Corp;Integrated Oil & Gas;Energy;United States;3,22904E+11;352974,3448;16141,22386;155606;#N/A N/A;20743;16180;36304;29197;21,70613821;9,722739774;2,041652448;155606;2,268385183;19,25063738;42595;5,676145254;10,04138658;;
APYX UW Equity;Apyx Medical Corp;Health Care Equipment;Health Care;United States;261184218,8;230,9932188;#N/A N/A;27,711;#N/A N/A;17,504;-20,083;-19,072;-41,239;#N/A N/A;#N/A N/A;6,045273552;43,157;5,352392862;#N/A N/A;266;#N/A N/A;-42,92880084;;
KO UN Equity;Coca-Cola Co/The;Soft Drinks;Consumer Staples;United States;2,54594E+11;288062,2517;11031,11976;38655;#N/A N/A;23298;10308;12102;31607;27,83275911;23,8028633;6,555716215;38655;7,452134307;25,19731369;79000;11,46751241;25,2774544;;
DIS UN Equity;Walt Disney Co/The;Movies & Entertainment;Communication Services;United States;2,37848E+11;291264,5484;3566,508005;67418;#N/A N/A;22287;3005;8969;42354;53,25736852;27,60539744;3,254159459;72988;3,990581307;61,8919295;190000;3,543852589;2,959150375;;
