Column1;#N/A Requesting Data...;#N/A Requesting Data..._1;#N/A Requesting Data..._2;#N/A Requesting Data..._3;#N/A Requesting Data..._4;#N/A Requesting Data..._5;#N/A Requesting Data..._6;#N/A Requesting Data..._7;#N/A Requesting Data..._8;#N/A Requesting Data..._9;#N/A Requesting Data..._10;#N/A Requesting Data..._11;#N/A Requesting Data..._12;#N/A Requesting Data..._13;#N/A Requesting Data..._14;Colonne1
;CUR_MKT_CAP;CURR_ENTP_VAL;NET_INCOME_FIRM;SALES_REV_TURN;NET_REV;GROSS_PROFIT;EBIT;EBITDA;NET_DEBT;CURRENT_EV_TO_T12M_EBIT;CURRENT_EV_TO_T12M_EBITDA;PX_TO_SALES_RATIO;TRAIL_12M_NET_SALES;CURRENT_EV_TO_12M_SALES;PE_RATIO;Datetime of data import
A UN Equity;42074751038;43410,75104;1282,066176;6319;#N/A N/A;3407;1347;1714;1336;32,14611087;25,3271593;6,701897942;6319;6,869876727;37,44496135;01/02/2022 15:45
AAL UW Equity;10668073490;44389,07349;#N/A N/A;29882;#N/A N/A;#N/A N/A;-1059;1276;33721;#N/A N/A;34,78767515;0,35583912;29882;1,485478666;#N/A N/A;
AAP UN Equity;14435847027;17475,69503;528,5282965;10106,321;#N/A N/A;4481,614;749,907;1525,993;2675,079;18,13031338;10,50939525;1,375407454;10966,145;1,593604227;20,13140015;
AAPL UW Equity;2,85231E+12;2772513,898;96973,1552;365817;#N/A N/A;152836;108949;121933;-53994;23,71636227;21,62343741;7,645103223;378323;7,328430727;28,97438321;
ABBV UN Equity;2,42005E+11;310504,1569;#N/A N/A;45804;#N/A N/A;30417;11363;18026;78584;18,70168987;12,23179661;4,39438887;55169;5,62823609;15,68511604;
ABC UN Equity;28476006419;34095,35242;1666,834257;213988,843;#N/A N/A;6943,228;2354,197;3030,037;5258,289;14,06469769;11,25245415;0,13110353;213988,843;0,159332384;15,18088966;
ABMD UW Equity;13461342366;12604,89137;#N/A N/A;847,522;#N/A N/A;685,615;229,557;257,754;-841,664;86,74721874;70,71904222;13,76604805;973,635;12,94621841;57,42466012;
ABT UN Equity;2,25386E+11;234252,8571;4986,378019;43075;#N/A N/A;24538;8425;9013;12697;27,80449342;19,52107142;5,261681875;43075;5,438255533;29,5559144;
ACN UN Equity;2,33113E+11;231531,2595;5952,728878;50533,389;#N/A N/A;16364,128;7621,529;10254,286;-4665,834;28,3560187;22,11996858;4,17264692;53736,357;4,308651952;37,59662183;
ADBE UW Equity;2,52029E+11;250904,31;4917,510254;15785;#N/A N/A;13920;5802;6709;-1125;42,90429378;37,39816813;16,16184529;15785;15,89510991;53,46197439;
ADI UW Equity;86209901687;91350,17069;#N/A N/A;7318,286;#N/A N/A;4525,012;1692,201;2817,634;5140,269;53,67180264;32,4208789;8,940837061;7318,286;12,48245432;25,61376517;
ADM UN Equity;41958094500;50554,0945;2927,766979;85249;#N/A N/A;5987;2829;3825;8596;17,59308949;13,21675673;0,496473235;85249;0,593016862;14,94574992;
ADP UW Equity;86600732285;88285,23229;2644,653293;15005,4;#N/A N/A;6365,1;3324,6;3993,1;860,8;24,84415409;21,00129223;5,551076827;15696,6;5,624481243;32,18207122;
ADSK UW Equity;54947159832;56184,85983;#N/A N/A;3790,4;#N/A N/A;3453,3;629,1;854,3;247,4;83,66457537;62,10330478;13,02782951;4214;13,33290456;101,8491346;
AEE UN Equity;22665083134;35841,08313;1227,068798;5794;#N/A N/A;4519;1300;2453;11437;26,60807954;13,94594674;3,650392053;6177;5,802344687;23,23036593;
