Ticker,Nom,SUB_IND_GICS,IND_GICS,REGION_NAME,CUR_MKT_CAP,CURR_ENTP_VAL,NET_INCOME_FIRM,SALES_REV_TURN,NET_REV,GROSS_PROFIT,EBIT,EBITDA,NET_DEBT,CURRENT_EV_TO_T12M_EBIT,CURRENT_EV_TO_T12M_EBITDA,PX_TO_SALES_RATIO,TRAIL_12M_NET_SALES,CURRENT_EV_TO_12M_SALES,PE_RATIO,NUM_OF_EMPLOYEES,SUSTAIN_GROWTH_RT,PROF_MARGIN,Unnamed: 23
AA,Alcoa Corp,Aluminum,Materials,United States,13692013913.0,15267.80912,521.7022519,12152.0,,2999.0,949.0,1683.0,12.0,15.98278294,9.071782011,1.128766633,12152.0,1.256402989,12.37987431,12200.0,,3.530283081,
INO,Inovio Pharmaceuticals Inc,Biotechnology,Health Care,United States,688081403.4,319.7898474,,1.774758,,,-301.217919,-294.257408,-368.291556,,,374.0618759,1.774758,180.1878607,,317.0,,-17109.86568,
AXP,American Express Co,Consumer Finance,Financials,United States,131786000000.0,150676.0592,,43663.0,42380.0,,11972.0,13667.0,18890.0,14.09636628,11.02480861,3.132584064,43663.0,3.450886545,17.37237268,64000.0,28.28723397,18.45956531,
VZ,Verizon Communications Inc,Integrated Telecommunication Services,Communication Services,United States,220848000000.0,397266.5029,24744.25663,133613.0,,77312.0,32448.0,53709.0,175009.0,11.96568606,7.396646798,1.633210451,133613.0,2.973262354,9.715622856,118400.0,12.44215502,16.51411165,
SPWH,Sportsman's Warehouse Holdings Inc,Specialty Stores,Consumer Discretionary,United States,494527419.7,820.8344197,94.01772666,1451.767,,476.454,122.748,212.589,198.785,7.683197638,3.680921356,0.322761637,1527.979,0.537202684,5.769244786,7000.0,37.13891811,6.294398481,
BA,Boeing Co/The,Aerospace & Defense,Industrials,United States,103701000000.0,147251.0977,,62286.0,,3017.0,-2902.0,-451.0,43397.0,,,1.657649083,62286.0,2.364112283,,142000.0,,-6.746299329,
SABR,Sabre Corp,Data Processing & Outsourced Services,Information Technology,United States,3011975566.0,7225.262566,,1688.875,,997.424,-665.487,-374.37,3875.097,,,1.770646584,1688.875,4.278151175,,7583.0,,-54.97559026,
PEP,PepsiCo Inc,Soft Drinks,Consumer Staples,United States,216953000000.0,253450.8485,9074.672131,79474.0,,42399.0,11162.0,14435.0,36390.0,22.58920219,17.55807749,2.731251376,79474.0,3.189103965,25.05148755,309000.0,-6.681250746,9.585524826,
CAT,Caterpillar Inc,Construction Machinery & Heavy Trucks,Industrials,United States,115746000000.0,117150.4601,6873.380302,50971.0,,15003.0,6878.0,9444.0,1372.0,17.00143966,12.40475012,2.305575363,50971.0,2.298374765,19.26145365,107700.0,29.28646161,12.73076848,
JPM,JPMorgan Chase & Co,Diversified Banks,Financials,United States,388619000000.0,,,127202.0,121649.0,,,,-526009.0,,,3.12740151,127202.0,,8.512107463,271025.0,12.80264564,39.7323447,
CVX,Chevron Corp,Integrated Oil & Gas,Energy,United States,322904000000.0,352974.3448,16141.22386,155606.0,,20743.0,16180.0,36304.0,29197.0,21.70613821,9.722739774,2.041652448,155606.0,2.268385183,19.25063738,42595.0,5.676145254,10.04138658,
APYX,Apyx Medical Corp,Health Care Equipment,Health Care,United States,261184218.8,230.9932188,,27.711,,17.504,-20.083,-19.072,-41.239,,,6.045273552,43.157,5.352392862,,266.0,,-42.92880084,
KO,Coca-Cola Co/The,Soft Drinks,Consumer Staples,United States,254594000000.0,288062.2517,11031.11976,38655.0,,23298.0,10308.0,12102.0,31607.0,27.83275911,23.8028633,6.555716215,38655.0,7.452134307,25.19731369,79000.0,11.46751241,25.2774544,
DIS,Walt Disney Co/The,Movies & Entertainment,Communication Services,United States,237848000000.0,291264.5484,3566.508005,67418.0,,22287.0,3005.0,8969.0,42354.0,53.25736852,27.60539744,3.254159459,72988.0,3.990581307,61.8919295,190000.0,3.543852589,2.959150375,
AFMD,Affimed NV,Biotechnology,Health Care,Germany,507663319.6,275.01054,,28.36,,,-34.718,-33.603,-145.557,,,10.75534109,39.774,6.914329462,,163.0,,-145.8603667,
XOM,Exxon Mobil Corp,Integrated Oil & Gas,Energy,United States,348509000000.0,401711.3288,23755.48012,276692.0,,34647.0,23233.0,45382.0,46096.0,17.20240249,8.851776668,1.271926104,276692.0,1.451835719,15.48690333,63000.0,7.787925986,8.326948376,
GE,General Electric Co,Industrial Conglomerates,Industrials,United States,102028000000.0,84015.06387,,74196.0,,18017.0,3676.0,7455.0,-19321.0,22.12751165,11.26962627,1.376624834,74129.0,1.132339531,,164000.0,,-8.787535716,
HPQ,HP Inc,"Technology Hardware, Storage & Peripherals",Information Technology,United States,36119913282.0,41051.91328,6722.912395,63487.0,,13417.0,5302.0,6322.0,4479.0,7.68762421,6.708925197,0.609023138,64869.0,0.632843319,8.700835375,51000.0,,10.24304188,
FC,Franklin Covey Co,Research & Consulting Services,Industrials,United States,610488347.7,590.1823477,,224.168,,172.902,8.101,20.897,-12.784,42.71730947,23.74979266,2.550321204,237.102,2.489149597,32.74514824,1000.0,26.0345195,6.077138575,
HD,Home Depot Inc/The,Home Improvement Retail,Consumer Discretionary,United States,333217000000.0,377142.7214,17451.32134,151157.0,,50832.0,23040.0,25902.0,43926.0,16.24555646,14.56037068,2.225409188,151157.0,2.495039736,20.5605674,500000.0,720.3808442,10.871478,
IBM,International Business Machines Corp,IT Consulting & Other Services,Information Technology,United States,111694000000.0,159679.3003,6868.390738,57351.0,,31486.0,6253.0,13750.0,47890.0,25.03232779,11.61304002,1.571972685,70786.0,2.784246138,13.7879092,282100.0,11.66067302,10.01377483,
GO,Grocery Outlet Holding Corp,Food Retail,Consumer Staples,United States,2702438182.0,4026.703182,74.82329454,3079.582,,948.786,89.095,282.904,1324.265,26.59034675,14.23346146,0.87487745,3079.582,1.307548616,54.98961253,946.0,6.451716445,2.023326542,
JNJ,Johnson & Johnson,Pharmaceuticals,Health Care,United States,454443000000.0,457585.7084,21045.75,93775.0,,63920.0,23647.0,31337.0,3143.0,19.35068755,14.60209045,4.869889413,93775.0,4.879612993,20.87077103,144300.0,12.23664904,22.26392962,
PSNL,Personalis Inc,Life Sciences Tools & Services,Health Care,United States,343418832.8,112.8798328,,85.494,,31.657,-65.353,-54.33,-230.539,,,3.920646131,85.494,1.320324616,,235.0,,-76.2930732,
MCD,McDonald's Corp,Restaurants,Consumer Discretionary,United States,168296000000.0,212935.4292,8525.392395,23222.9,,15175.6,10356.0,13784.4,44639.9,19.590429,15.44756603,7.288474868,23222.9,9.169200626,24.40386678,200000.0,,32.49034358,
RPD,Rapid7 Inc,Systems Software,Information Technology,United States,5487260743.0,6176.386743,,535.404,,366.456,-120.065,-70.089,689.126,,,9.766992601,535.404,11.53593687,,2353.0,,-27.33151041,
MRK,Merck & Co Inc,Pharmaceuticals,Health Care,United States,196809000000.0,223417.3386,13766.67044,48704.0,,35078.0,12538.0,16095.0,26535.0,17.76045475,13.88116425,3.927558284,50157.0,4.587248246,11.56942033,68000.0,23.4267202,26.79246058,
BCEL,Atreca Inc,Biotechnology,Health Care,United States,112898803.0,-4.13019697,,0.0,,0.0,-110.303,-105.753,-117.029,,,,0.0,,,134.0,,,
MMM,3M Co,Industrial Conglomerates,Industrials,United States,82449707000.0,96072.707,6321.953914,35355.0,,16560.0,7369.0,9603.0,13552.0,13.01010011,10.00444726,2.364412884,35355.0,2.717372564,14.2851498,96163.0,15.49643879,16.74727761,
IMUX,Immunic Inc,Biotechnology,Health Care,United States,287720572.0,201.898572,,0.0,,0.0,-91.665,-91.077,-85.822,,,,0.0,,,55.0,,,
BAC,Bank of America Corp,Diversified Banks,Financials,United States,337151000000.0,,,93851.0,89113.0,,,,1662.0,,,3.78223537,93851.0,,11.6769047,208248.0,9.220018464,35.88477551,
GSAT,Globalstar Inc,Alternative Carriers,Communication Services,United States,1958730000.0,2214.105,,124.297,,72.334,-65.503,30.734,255.375,,72.04089933,15.49787644,124.297,17.81302043,,329.0,,-90.60958832,
AKRO,Akero Therapeutics Inc,Biotechnology,Health Care,United States,483528632.4,296.5816324,,0.0,,0.0,-100.886,-100.521,-186.947,,,,0.0,,,33.0,,,
PFE,Pfizer Inc,Pharmaceuticals,Health Care,United States,292639000000.0,303226.9504,23171.65226,81288.0,,50467.0,19433.0,25131.0,10326.0,15.55447441,12.06585294,3.57869722,81491.0,3.730279381,12.61228445,79000.0,12.15094541,27.03843126,
PG,Procter & Gamble Co/The,Household Products,Consumer Staples,United States,348845000000.0,374084.9722,14715.00959,76118.0,,39010.0,17986.0,20966.0,22550.0,21.35675795,18.42420076,4.549962956,78346.0,4.774780744,25.49405774,101000.0,15.53821719,18.79450327,
T,AT&T Inc,Integrated Telecommunication Services,Communication Services,United States,163751000000.0,363766.8161,25568.1205,168864.0,,89057.0,23347.0,52002.0,182493.0,14.97903654,6.995246646,0.973109009,168864.0,2.154199925,6.916974947,203000.0,3.017389461,11.89181827,
TRV,Travelers Cos Inc/The,Property & Casualty Insurance,Financials,United States,42842229857.0,49702.22986,3941.291162,34816.0,,,,,6860.0,10.35894745,,1.265934359,34816.0,1.427568642,12.70561623,30800.0,10.47214782,10.51815257,
RTX,Raytheon Technologies Corp,Aerospace & Defense,Industrials,United States,143801000000.0,171153.0139,5005.535186,64388.0,,12491.0,4958.0,10040.0,25721.0,34.12873533,17.04711294,2.24650757,64388.0,2.658150803,21.94157943,174000.0,-0.583814791,6.001118221,
WMT,Walmart Inc,Hypermarkets & Super Centers,Consumer Staples,United States,401352000000.0,452553.4741,14921.15789,572754.0,,143754.0,25942.0,36600.0,42563.0,16.80584405,12.36484902,0.705146782,572754.0,0.79013586,22.43255852,2300000.0,9.534826808,2.387237802,
CSCO,Cisco Systems Inc/Delaware,Communications Equipment,Information Technology,United States,226194000000.0,217691.4476,10937.59131,49818.0,,31894.0,12833.0,15094.0,-11824.0,15.58836001,13.29007617,4.445919967,51549.0,4.2230004,18.95738254,79500.0,14.4898132,21.25938416,
INTC,Intel Corp,Semiconductors,Information Technology,United States,182303000000.0,186168.44,20414.52334,79024.0,,43815.0,19456.0,32046.0,3865.0,9.562534398,5.809412719,2.299481519,79024.0,2.355846831,9.823271182,121100.0,15.28683633,25.14172909,
MSFT,Microsoft Corp,Systems Software,Information Technology,United States,2098600000000.0,2053581.819,63292.62761,168088.0,,115856.0,69916.0,83729.0,-48056.0,26.03576704,21.89342977,11.3848942,184903.0,11.10626555,32.08182093,181000.0,36.89644771,36.45173956,
SAM,Boston Beer Co Inc/The,Brewers,Consumer Staples,United States,4300866141.0,4338.553141,,2057.622,,797.792,7.997,90.376,37.687,425.8467548,48.00558932,2.087815678,2057.622,2.108527777,83.72985498,2543.0,,0.707272764,
C,Citigroup Inc,Diversified Banks,Financials,United States,108890000000.0,183454.7769,,79865.0,71884.0,,35450.0,40475.0,54870.0,6.656061879,4.532545445,1.399992847,79865.0,2.297061001,5.726932451,223000.0,7.44890374,27.48638327,
AIG,American International Group Inc,Multi-line Insurance,Financials,United States,47190776468.0,79811.77647,10458.29631,52057.0,,,,,29165.0,5.954325311,,0.949950591,52057.0,1.533161275,11.68104812,36600.0,13.24751827,18.03407803,
EFC,Ellington Financial Inc,Mortgage REITs,Financials,United States,1022520509.0,2277.884509,,0.0,,,-65.441,-65.441,988.129,,,,0.0,,6.908139961,170.0,3.530248808,,
MO,Altria Group Inc,Tobacco,Consumer Staples,United States,91553423882.0,115053.4239,3243.906904,21111.0,,13992.0,11560.0,11804.0,23500.0,9.952718329,9.746986096,4.402674162,21111.0,5.44992771,10.9331125,6000.0,,11.72374591,
CLPR,Clipper Realty Inc,Residential REITs,Real Estate,United States,398377865.6,1491.236866,,122.85,,,32.227,54.985,1007.4,56.16922918,28.99659457,1.253217459,122.29,12.19426663,,156.0,,-3.993487993,
IP,International Paper Co,Paper Packaging,Materials,United States,16138506930.0,20545.50693,2101.079079,19363.0,,5531.0,1168.0,2516.0,4407.0,17.47015218,8.165940751,0.768952878,21779.0,1.06107044,8.820341309,38200.0,-11.52031484,9.048184682,
CNVY,Convey Health Solutions Holdings Inc,Health Care Technology,Health Care,United States,359749350.5,513.9443505,,282.914,,111.617,10.451,38.483,197.914,,,1.020571293,282.914,,,,,-2.28408633,
ABT,Abbott Laboratories,Health Care Equipment,Health Care,United States,204211000000.0,213367.2465,7529.999269,43075.0,,24538.0,8425.0,12322.0,8934.0,25.2307235,17.31595898,4.780345061,43075.0,4.953389356,26.98861026,113000.0,11.93684159,16.41555427,
AFL,Aflac Inc,Life & Health Insurance,Financials,United States,39823474420.0,42833.47442,4518.41413,22106.0,,,,,3010.0,7.703862306,,1.868364443,22103.0,1.937640207,9.9666324,12447.0,10.23651364,19.56482403,
